courseCode	index	labVenue	labStartTime	labEndTime	dayOfWeek	labAssistant	remark
CZ2001	10182	HWLAB2	1030	1230	THU		"Teaching Wk1,3,5,7,9,11,13"
CZ2001	10183	HWLAB2	1030	1230	THU		"Teaching Wk2,4,6,8,10,12"
CZ2001	10184	HWLAB2	1430	1630	THU		"Teaching Wk2,4,6,8,10,12"
CZ2001	10185	HWLAB2	1430	1630	THU		"Teaching Wk1,3,5,7,9,11,13"
CZ2001	10186	HWLAB1	1430	1630	MON		"Teaching Wk2,4,6,8,10,12"
CZ2001	10187	HWLAB3	1430	1630	MON		"Teaching Wk1,3,5,7,9,11,13"
CZ2001	10188	HWLAB2	1430	1630	THU		"Teaching Wk2,4,6,8,10,12"
CZ2001	10189	HWLAB2	1030	1230	MON		"Teaching Wk1,3,5,7,9,11,13"
CZ2001	10191	HWLAB3	1030	1230	MON		"Teaching Wk2,4,6,8,10,12"
CZ2001	10192	HWLAB2	1030	1230	MON		"Teaching Wk2,4,6,8,10,12"
CZ2001	10193	HWLAB3	1430	1630	WED		"Teaching Wk1,3,5,7,9,11,13"
CZ2001	10194	HWLAB1	1230	1430	TUE		"Teaching Wk2,4,6,8,10,12"
CZ2001	10195	HWLAB2	1030	1230	WED		"Teaching Wk2,4,6,8,10,12"
CZ2001	10196	HWLAB1	1430	1630	MON		"Teaching Wk1,3,5,7,9,11,13"
CZ2001	10197	HWLAB3	1030	1230	MON		"Teaching Wk1,3,5,7,9,11,13"
CZ2001	10404	HWLAB3	1030	1230	MON		"Teaching Wk1,3,5,7,9,11,13"
CZ2001	10405	HWLAB1	1230	1430	TUE		"Teaching Wk1,3,5,7,9,11,13"
CZ2001	10440	HWLAB3	1430	1630	WED		"Teaching Wk1,3,5,7,9,11,13"
CZ2001	10441	HWLAB3	1030	1230	MON		"Teaching Wk2,4,6,8,10,12"
CZ2001	10487	HWLAB3	1430	1630	MON		"Teaching Wk2,4,6,8,10,12"
CZ2001	10488	HWLAB2	1430	1630	MON		"Teaching Wk1,3,5,7,9,11,13"
CZ2001	10489	HWLAB2	1030	1230	TUE		"Teaching Wk2,4,6,8,10,12"
CZ2001	10490	HWLAB2	1030	1230	TUE		"Teaching Wk1,3,5,7,9,11,13"
CZ2001	10491	HWLAB3	1230	1430	TUE		"Teaching Wk2,4,6,8,10,12"
CZ2001	10492	HWLAB1	1230	1430	TUE		"Teaching Wk1,3,5,7,9,11,13"
CZ2001	10494	HWLAB1	1230	1430	TUE		"Teaching Wk1,3,5,7,9,11,13"
CZ2001	13829	HWLAB1	1230	1430	TUE		"Teaching Wk1,3,5,7,9,11,13"
CZ2002	10198	SPL	830	1030	MON		"Teaching Wk1,3,5,7,9,11,13"
CZ2002	10199	SPL	830	1030	MON		"Teaching Wk2,4,6,8,10,12"
CZ2002	10200	SPL	1230	1430	FRI		"Teaching Wk1,3,5,7,9,11,13"
CZ2002	10201	SWLAB1	1430	1630	THU		"Teaching Wk2,4,6,8,10,12"
CZ2002	10202	SPL	1430	1630	THU		"Teaching Wk2,4,6,8,10,12"
CZ2002	10203	SPL	1030	1230	WED		"Teaching Wk2,4,6,8,10,12"
CZ2002	10204	SPL	1030	1230	MON		"Teaching Wk1,3,5,7,9,11,13"
CZ2002	10205	SPL	1030	1230	MON		"Teaching Wk2,4,6,8,10,12"
CZ2002	10206	SPL	830	1030	WED		"Teaching Wk1,3,5,7,9,11,13"
CZ2002	10207	SPL	830	1030	WED		"Teaching Wk2,4,6,8,10,12"
CZ2002	10208	SWLAB1	1430	1630	THU		"Teaching Wk1,3,5,7,9,11,13"
CZ2002	10209	SPL	1030	1230	WED		"Teaching Wk1,3,5,7,9,11,13"
