courseCode	lecVenue	lecStartTime	lecEndTime	dayOfWeek	remark
CZ2001	ONLINE	1030	1130	FRIDAY	
CZ2001	ONLINE	1230	1330	MONDAY	
CZ2002	ONLINE	930	1030	TUE	
CZ2002	ONLINE	1130	1230	FRI	
CZ2003	ONLINE	1430	1530	FRI	
CZ2003	ONLINE	1530	1630	TUE	
CZ2004	ONLINE	1530	1630	FRI	
CZ2004	ONLINE	1630	1730	TUE	
CZ2005	ONLINE	930	1030	THU	
CZ2005	ONLINE	1030	1130	THU	
CZ2006	ONLINE	930	1030	MON	
CZ2006	ONLINE	1330	1430	THU	
CZ2007	ONLINE	1230	1330	THU	
CZ2007	ONLINE	1330	1430	MON	
CZ3001	ONLINE	930	1030	MON	
CZ3001	ONLINE	1430	1530	FRI	
CZ3002	ONLINE	1130	1230	FRI	
CZ3002	ONLINE	1230	1330	FRI	
CZ3003	ONLINE	1530	1630	THU	
CZ3003	ONLINE	1630	1730	THU	
CZ3005	ONLINE	1030	1130	MON	
CZ3005	ONLINE	1230	1330	TUE	
CZ3006	ONLINE	1030	1130	TUE	
CZ3006	ONLINE	1130	1230	TUE	
CZ3007	ONLINE	1430	1530	THU	
CZ3007	ONLINE	1530	1630	TUE	
CZ4003	ONLINE	830	930	TUE	
CZ4003	ONLINE	930	1030	TUE	
CZ4016	LT10	1130	1230	THU	
CZ4016	LT10	1230	1330	THU	
CZ4022	LT11	1230	1330	WED	
CZ4022	LT11	1330	1430	WED	
CZ4023	LT8	1530	1630	TUE	
CZ4023	LT8	1630	1730	TUE	
CZ4031	ONLINE	830	930	THU	
CZ4031	ONLINE	930	1030	THU	
CZ4032	ONLINE	1330	1430	MON	
CZ4032	ONLINE	1430	1530	MON	
CZ4042	ONLINE	1130	1230	FRI	
CZ4042	ONLINE	1230	1330	FRI	
CZ4045	ONLINE	930	1030	WED	
CZ4045	ONLINE	1030	1130	WED	
CZ4062	ONLINE	1330	1430	TUE	
CZ4062	ONLINE	1430	1530	TUE	
CZ4064	ONLINE	1530	1630	MON	
CZ4064	ONLINE	1630	1730	MON	
