courseCode	index	tutVenue	tutStartTime	tutEndTime	dayOfWeek	remark
CZ2001	10182	1130	1230	TR+37	WED	Teaching Wk2-13
CZ2001	10183	1230	1330	TR+37	WED	Teaching Wk2-13
CZ2001	10184	930	1030	TR+9	WED	Teaching Wk2-13
CZ2001	10185	1330	1430	TR+16	FRI	Teaching Wk2-13
CZ2001	10186	1130	1230	TR+16	TUE	Teaching Wk2-13
CZ2001	10187	1030	1130	TR+17	TUE	Teaching Wk2-13
CZ2001	10188	1330	1430	TR+15	WED	Teaching Wk2-13
CZ2001	10189	1030	1130	TR+9	WED	Teaching Wk2-13
CZ2001	10191	1330	1430	TR+37	TUE	Teaching Wk2-13
CZ2001	10192	1230	1330	TR+33	WED	Teaching Wk2-13
CZ2001	10193	1230	1330	TR+16	THU	Teaching Wk2-13
CZ2001	10194	1330	1430	TR+20	FRI	Teaching Wk2-13
CZ2001	10195	1430	1530	TR+17	TUE	Teaching Wk2-13
CZ2001	10196	1130	1230	LHN-TR+18	TUE	Teaching Wk2-13
CZ2001	10197	1330	1430	TR+18	TUE	Teaching Wk2-13
CZ2001	10404	1630	1730	TR+9	FRI	Teaching Wk2-13
CZ2001	10405	1630	1730	TR+9	FRI	Teaching Wk2-13
CZ2001	10440	1630	1730	TR+9	FRI	Teaching Wk2-13
CZ2001	10441	1630	1730	TR+9	FRI	Teaching Wk2-13
CZ2001	10487	1030	1130	TR+16	TUE	Teaching Wk2-13
CZ2001	10488	830	930	LHN-TR+18	MON	Teaching Wk2-13
CZ2001	10489	1630	1730	TR+31	MON	Teaching Wk2-13
CZ2001	10490	1030	1130	TRX44	WED	Teaching Wk2-13
CZ2001	10491	930	1030	TR+3	WED	Teaching Wk2-13
CZ2001	10492	1030	1130	TR+16	TUE	Teaching Wk2-13
CZ2001	10494	930	1030	TR+9	WED	Teaching Wk2-13
CZ2001	13829	930	1030	LHN-TR+13	MON	Teaching Wk2-13
CZ2002	10198	1130	1230	TR+33	MON	Teaching Wk2-13
CZ2002	10199	1330	1430	TR+9	MON	Teaching Wk2-13
CZ2002	10200	930	1030	LHN-TR+17	MON	Teaching Wk2-13
CZ2002	10201	1030	1130	TR+17	THU	Teaching Wk2-13
CZ2002	10202	1030	1130	TR+16	WED	Teaching Wk2-13
